state,county,"FIPS code !,",deaths
MARYLAND,Allegany,24001,20
Maryland,Anne Arundel,24003,236
Maryland,Baltimore,24005,601
Maryland,Baltimore city,24510,463
mary land,Calvert,24009,28
Maryland,Caroline,24011,three
Maryland,Carroll,24013,123
Maryland,Cecil,24015,31
Maryland,Charles,24017,94
Maryland,Dorchester,24019,6
Maryland,Frederick,24021,125
Maryland,Garrett,24023,NA
Maryland,Harford,24025,69
Maryland,Howard,24027,117
Maryland,Kent,24029,24
Maryland,Montgomery,24031,820
Maryland,Prince George's,24033,791
Maryland,Queen Anne's,24035,26
Maryland,Somerset,24039,4
Maryland,St. Mary's,24037,55
Maryland,Talbot,24041,4
Maryland,Washington,24043,33
Maryland,Wicomico,24045,47
Maryland,Worcester,24047,24
