state,population
California,39148760
Texas,27885195
Florida,20598139
New York,19618453
Illinois,12821497
Pennsylvania,12791181
Ohio,11641879
Georgia,10297484
North Carolina,10155624
Michigan,9957488
New Jersey,8881845
Virginia,8413774
Washington,7294336
Arizona,6946685
Massachusetts,6830193
Tennessee,6651089
Indiana,6637426
Missouri,6090062
Maryland,6003435
Wisconsin,5778394
Colorado,5531141
Minnesota,5527358
South Carolina,4955925
Alabama,4864680
Louisiana,4663616
Kentucky,4440204
Oregon,4081943
Oklahoma,3918137
Connecticut,3581504
Iowa,3132499
Utah,3045350
Arkansas,2990671
Mississippi,2988762
Nevada,2922849
Kansas,2908776
New Mexico,2092434
Nebraska,1904760
West Virginia,1829054
Idaho,1687809
Hawaii,1422029
New Hampshire,1343622
Maine,1332813
Rhode Island,1056611
Montana,1041732
Delaware,949495
South Dakota,864289
North Dakota,752201
Alaska,738516
District of Columbia,684498
Vermont,624977
Wyoming,581836
